Deutsches Wort (German)	Bedeutung (English)	Beispielsatz (German)	Übersetzung (English)

--- A ---			
ab	from / starting from	Ab morgen muss ich arbeiten.	From tomorrow I have to work.
aber	but	Ich bin oft im Büro, aber nur für wenige Stunden.	I'm often in the office, but only for a few hours.
abfahren	to depart / leave	Wir fahren um zwölf Uhr ab.	We leave at twelve o'clock.
die Abfahrt	departure	Vor der Abfahrt rufe ich an.	Before departure I'll call.
abgeben	to hand in / hand over	Ich muss meine Schlüssel abgeben.	I have to hand in my keys.
abholen	to pick up / collect	Wann kann ich den Schrank bei dir abholen?	When can I pick up the cupboard from you?
der Absender	sender (of a letter)	Da ist ein Brief für dich ohne Absender.	There's a letter for you with no sender.
Achtung	attention / watch out	Achtung! Das dürfen Sie nicht tun.	Attention! You must not do that.
die Adresse	address	Können Sie mir seine Adresse sagen?	Can you tell me his address?
all-	all / everything	Alles Gute!	All the best!
allein	alone	Er kommt allein.	He's coming alone.
also	so / well	Also, es ist so: ...	So, it's like this: ...
alt	old	Wie alt sind Sie?	How old are you?
das Alter	age	Alter: 26 Jahre.	Age: 26 years.
an	at / on / to	Wir treffen uns am Bahnhof.	We'll meet at the station.
anbieten	to offer	Was darf ich dir anbieten?	What may I offer you?
das Angebot	offer / special offer	Heute sind Sportschuhe im Angebot.	Today sports shoes are on offer.
ander-	other	Nein, ich möchte die andere.	No, I'd like the other one.
anfangen	to begin / start	Der Unterricht fängt gleich an.	The class starts soon.
der Anfang	beginning	Sie wohnt am Anfang der Straße.	She lives at the beginning of the street.
anklicken	to click (on)	Da musst du dieses Wort anklicken.	You have to click on this word there.
ankommen	to arrive	Wann kommt dieser Zug in Hamburg an?	When does this train arrive in Hamburg?
die Ankunft	arrival	Auf diesem Plan steht nur die Ankunft der Züge.	This schedule shows only the arrival of the trains.
ankreuzen	to mark with a cross / tick	Auf dem Formular müssen Sie etwas ankreuzen.	On the form you have to tick something.
anmachen	to switch on	Mach bitte das Licht an!	Please turn on the light!
(sich) anmelden	to register / sign up	Wo kann ich mich anmelden?	Where can I register?
die Anmeldung	registration	Eine Anmeldung für diesen Kurs ist nicht mehr möglich.	Registration for this course is no longer possible.
die Anrede	form of address / salutation	Schreiben Sie auch eine Anrede und einen Gruß.	Also write a salutation and a greeting.
anrufen	to call / phone	Kann man Sie anrufen?	Can one call you?
der Anruf	(phone) call	Sie bekommt viele Anrufe auf ihrem Handy.	She gets many calls on her mobile.
der Anrufbeantworter	answering machine	Sprechen Sie bitte auf den Anrufbeantworter.	Please leave a message on the answering machine.
die Ansage	announcement	Hören Sie die Ansagen.	Listen to the announcements.
der Anschluss	connection	In Mannheim haben Sie Anschluss nach Saarbrücken.	In Mannheim you have a connection to Saarbrücken.
an sein	to be on (switched on)	Heute Nacht war das Licht an.	Last night the light was on.
antworten	to answer	Er antwortet nicht.	He doesn't answer.
