Deutsches Wort (German)	Bedeutung (English)	Beispielsatz (German)	Übersetzung (English)	Markiert (1/0)
dürfen	 may	Sie dürfen hier nicht rauchen.	You must not smoke here.	1
alt	old	Wie alt sind Sie?	How old are you?	0
das Hobby	hobby	Meine Hobbys sind Wandern und Schwimmen.	My hobbies are hiking and swimming.	1
die Party	party	Heute Abend machen wir eine Party.	Tonight we're having a party.	0
kurz	short	Ricardo hat kurzes Haar.	Ricardo has short hair.	1
haben	to have	Ich habe ein neues Auto.	I have a new car.	0
die Polizei	police	Holen Sie die Polizei!	Get the police!	1
stellen	to put / place	Stell die Tasche in die Ecke!	Put the bag in the corner!	0
selbstständig	self-employed	Er ist selbstständig.	He is self-employed.	1
die Bahn	train / railway	Wir fahren lieber mit der Bahn.	We prefer to travel by train.	1
so	so / like this	Sie müssen das so machen!	You have to do it like this!	1
baden	to bathe / have a bath	Ich bade nicht so gern, ich dusche lieber.	I don't like bathing much, I prefer to shower.	1
nur	only	Ich möchte nur ein Glas Wasser.	I'd only like a glass of water.	1
von	from / of	Das Auto von Felix ist kaputt.	Felix's car is broken.	0
das Feuer	fire / a light	Haben Sie Feuer?	Do you have a light?	1
die Lebensmittel	groceries / food	Lebensmittel bekommen Sie im Supermarkt.	You get groceries at the supermarket.	1
der Anschluss	connection	In Mannheim haben Sie Anschluss nach Saarbrücken.	In Mannheim you have a connection to Saarbrücken.	1
die Wohnung	flat / apartment	Seit wann haben Sie diese Wohnung?	Since when have you had this flat?	1
jed-	each / every	Blumen kannst du in jedem Bahnhof kaufen.	You can buy flowers at every station.	1
das Fax	fax	Schicken Sie uns einfach ein Fax!	Just send us a fax!	0
der Termin	appointment	Am besten machen wir sofort einen Termin.	Best to make an appointment right away.	0
die Möbel	furniture	Sind die Möbel neu?	Is the furniture new?	1
sollen	should / to be supposed to	Soll ich kommen?	Should I come?	1
leise	quiet(ly)	Seid leise. Die anderen schlafen schon.	Be quiet. The others are already sleeping.	1
tanzen	to dance	Tanzen Sie gern?	Do you like dancing?	0
das Obst	fruit	Im Sommer ist das Obst billig.	In summer fruit is cheap.	1
draußen	outside	Wollen wir draußen sitzen?	Shall we sit outside?	1
die Firma	company / firm	Er arbeitet jetzt bei einer anderen Firma.	He now works at a different company.	0
warten	to wait	Können Sie ein paar Minuten warten?	Can you wait a few minutes?	0
schlecht	bad	Mir ist schlecht!	I feel sick!	1
das Gepäck	luggage	Wollen Sie Ihr Gepäck mitnehmen?	Do you want to take your luggage?	1
(sich) anziehen	to get dressed / put on	Ich muss mich noch anziehen.	I still have to get dressed.	1
buchstabieren	to spell	Bitte buchstabieren Sie Ihren Namen.	Please spell your name.	1
Rad fahren	to ride a bike	Das Kind kann schon Rad fahren.	The child can already ride a bike.	1
der Stock	floor / storey	Unsere Wohnung liegt im ersten Stock.	Our flat is on the first floor.	1
weiter	further / on	Der Bus fährt nicht weiter.	The bus doesn't go any further.	1
das Ergebnis	result	Das Ergebnis des Tests bekommen Sie in zwei Wochen.	You'll get the result of the test in two weeks.	1
die Tasche	bag / pocket	Ich habe die Schlüssel in der Tasche.	I have the keys in my bag.	1
lange	(for) a long time	Wie lange fährt der Zug nach Berlin?	How long does the train to Berlin take?	0
tschüss	bye	"Junge Leute sagen meistens ""tschüss!""."	"Young people usually say ""bye!""."	1
bleiben	to stay / remain	Ich bleibe heute zu Hause.	I'm staying home today.	1
das Ei	egg	Möchtest du ein Ei zum Frühstück?	Would you like an egg for breakfast?	0
(sich) duschen	to shower	Ich bade nicht so gern, ich dusche lieber.	I don't like baths, I prefer to shower.	1
können	can / to be able to	Ich kann Deutsch und Russisch.	I can speak German and Russian.	1
böse	angry / nasty	Sie ist böse auf mich.	She's angry with me.	1
er	he	Er heißt Ali.	His name is Ali.	0
fragen	to ask	Er möchte Sie etwas fragen.	He'd like to ask you something.	1
besichtigen	to visit / tour (sights)	Ich möchte gern den Dom besichtigen.	I'd like to visit the cathedral.	1
die Treppe	stairs	Die Treppe hoch und dann links.	Up the stairs and then left.	1
wenig	little / few	Er verdient wenig.	He earns little.	1
unser-	our	Das ist unsere Lehrerin.	That's our teacher.	1
später	later	Das können wir später machen.	We can do that later.	1
fertig	ready / finished	Bist du fertig?	Are you ready?	1
die Einladung	invitation	Danke für die Einladung!	Thanks for the invitation!	1
die Familie	family	Meine Familie lebt in Spanien.	My family lives in Spain.	1
erlauben	to allow / permit	Rauchen ist hier nicht erlaubt.	Smoking is not allowed here.	1
die Frau	woman / Mrs / wife	Das ist Frau Becker.	This is Mrs Becker.	0
der Mann	man / husband	Mein Mann arbeitet bei der Polizei.	My husband works for the police.	1
in	in / into	Ich wohne in Wiesbaden.	I live in Wiesbaden.	1
das Bild	picture	Hast du ein Bild von deinem Sohn?	Do you have a picture of your son?	1
der Kaffee	coffee	Zum Frühstück trinke ich immer Kaffee.	I always drink coffee for breakfast.	0
schwer	heavy / difficult	Ist Ihr Gepäck sehr schwer?	Is your luggage very heavy?	1
der Student	student	Ich bin Studentin.	I'm a student.	0
klein	small	Eltville ist eine kleine Stadt am Rhein.	Eltville is a small town on the Rhine.	0
die Banane	banana	Drei Bananen, bitte!	Three bananas, please!	0
ausfüllen	to fill in / out	Füllen Sie bitte dieses Formular aus.	Please fill in this form.	1
gleich	same / immediately	Ich komme gleich.	I'm coming right away.	1
der Absender	sender (of a letter)	Da ist ein Brief für dich ohne Absender.	There's a letter for you with no sender.	1
falsch	wrong / false	Das ist falsch.	That's wrong.	1
die Pause	break / pause	Von 12.00 bis 12.30 Uhr haben wir Mittagspause.	From 12:00 to 12:30 we have a lunch break.	1
der Durst	thirst	Ich habe großen Durst.	I'm very thirsty.	1
